,lat,lon
0,39.078605989,-77.069720978
1,38.996120016,-77.032605995
2,38.999848999,-77.048472016
3,39.020445011,-77.011794987
4,38.998122997,-77.040972978
5,38.993392,-77.011113035
6,38.992900988,-77.027178964
7,39.090779991,-77.063284012
8,39.151409985,-77.191282966
9,39.171950006,-77.251734006
10,39.030350996,-77.108062989
11,39.115245007,-77.205358025
12,38.981243018,-77.098954961
13,39.152852008,-77.175749958
14,38.992165015,-77.028613024
15,39.002302004,-77.011372036
16,39.083630982000045,-76.94354299299994
17,39.002494998,-76.987517978
18,39.08827200000008,-77.06759700399994
19,39.14586502100008,-77.19007898899997
20,38.993416882,-77.028004205
21,39.18350418200004,-77.23361757899994
22,39.030350996,-77.108062989
23,39.041687981,-76.986386002
24,39.04281698100005,-77.11127904099999
25,39.03758902100003,-77.02922196899993
26,39.105439982000064,-77.20304000999994
27,39.192601004,-77.19233699
28,39.15401902,-77.198041965
29,39.06074801,-77.125440015
30,39.06417998,-77.097773029
31,39.144583009,-77.227269997
32,39.188001016,-77.189426039
33,39.175200006,-77.201422973
34,39.124497999,-77.201507966
35,39.030350996,-77.108062989
36,39.057601988,-77.10228199
37,39.03980100500007,-76.99389501299999
38,39.043314992,-77.049536014
39,39.225017009,-77.289336984
40,39.083630982000045,-76.94354299299994
41,39.08508700300007,-77.12221801099997
42,39.03897698000003,-76.99585302599996
43,39.05989598900004,-77.12528302199996
44,39.040869991,-77.073904973
45,39.04477801100006,-76.98376699199997
46,39.08109202000003,-76.94460900399997
47,39.15140998500004,-77.19128296599996
48,39.08109202,-76.944609004
49,39.087204984,-76.940688033
50,39.145176095,-77.226657347
51,38.981438986,-77.008818992
52,39.15629500000006,-77.20166998799994
53,39.03758902100003,-77.02922196899993
54,39.058068986,-77.106990021
55,38.993302984,-77.034067967
56,39.087165382,-76.939915838
57,39.15363999,-77.276393984
58,39.08235601100006,-76.94203399899999
59,39.01680399600008,-76.97469500699998
60,39.13805602100007,-77.20873098699997
61,39.189273011,-77.272021983
62,39.07114299400007,-77.13524499799996
63,39.159623999,-77.267770012
64,39.00059599400004,-76.99290795999997
65,39.03758902100003,-77.02922196899993
66,39.187184996,-77.202482027
67,38.99918301500003,-76.99969101599999
68,38.982190005000064,-76.98675296099998
69,39.148489018,-77.20568098
70,39.147444004,-77.205398007
71,39.191009993,-77.24407303
72,39.040501983,-76.981766986
73,39.18257499100002,-77.26480499699994
