,Merchant,Address,lon,lat
0,Henry's Wrecker Service,"8321 Beechcraft Avenue, Gaithersburg, MD 20879",-77.16982943587523,39.167950088780536
1,Authorized,"8011 Beechcraft Avenue, Gaithersburg, MD 20879",-77.16376838373975,39.16440218084793
2,Prestige,"13 Fedor Avenue, Gaithersburg, MD 20877",-77.17774825006606,39.12054247812334
3,Speedy Towing,"15101 Southlawn Lane, Rockville, MD 20850",-77.13339592487702,39.104344476741595
4,Metro Investigation & Recovery Solutions,"8595 Dorsey Run Road, Annapolis Junction, MD 20701",-76.79544821647558,39.13436473570618
